 * Serving Flask app "__main__" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:7000/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Jun/2018 14:15:29] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:15:44] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:15:52] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:08] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:22] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:28] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:35] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:37] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:42] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:16:51] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:18:03] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:19:11] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:19:16] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:19:16] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:19:25] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:19:28] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:20:46] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:20:51] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:21:31] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:21:38] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:22:44] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:27:06] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:28:24] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:16] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:19] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:20] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:21] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:21] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:21] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:22] "POST /v1/phone/token HTTP/1.0" 200 -
